,do,da,dz,recon_loss,act_mse,obs_mse,noi_mse
0,128,2,2,2.26562215169257e-12,0.01179953571408987,0.9998798966407776,1.0738763200199215e-42
1,128,4,4,9.906919149216264e-05,0.003203013213351369,1.000136375427246,0.0
2,128,6,6,5.384231727134647e-09,3.891083906637505e-06,1.000017523765564,0.0
3,128,8,8,7.969733206714125e-10,5.394685445025971e-07,0.9997619390487671,0.0
4,128,10,10,6.690612508464255e-07,8.269451063824817e-06,1.0002037286758423,0.0
5,128,12,12,1.812356640584767e-05,0.00018385353420550624,1.0004334449768066,0.0
6,128,14,14,0.00020398908236529678,0.001756818432893072,1.0008193254470825,0.0
7,128,16,16,9.099809540202841e-05,0.0006780828698538244,0.9996025562286377,0.0
8,128,2,2,0.03938224911689758,0.055992379784584045,1.0003390312194824,0.039989445358514786
9,128,4,4,0.038732729852199554,0.03868013992905617,1.0005205869674683,0.039943963289260864
10,128,6,6,0.038142163306474686,0.03848108649253845,1.000044822692871,0.03995167836546898
11,128,8,8,0.037540607154369354,0.03867035731673241,0.9999480247497559,0.039957571774721146
12,128,10,10,0.03692786395549774,0.03887529373168945,0.9999321699142456,0.039912618696689606
13,128,12,12,0.03630352392792702,0.038543812930583954,1.0006273984909058,0.039891861379146576
14,128,14,14,0.03572588041424751,0.038674622774124146,0.9999926686286926,0.039918411523103714
15,128,16,16,0.03511686995625496,0.038816675543785095,0.9999718070030212,0.03988873213529587
16,128,2,2,0.15759961307048798,0.14022201299667358,1.0001429319381714,0.1597794145345688
17,128,4,4,0.1550755649805069,0.13798026740550995,1.0008429288864136,0.15939269959926605
18,128,6,6,0.15247175097465515,0.138527512550354,0.9996494650840759,0.15896666049957275
19,128,8,8,0.15003131330013275,0.13812212646007538,0.9998375177383423,0.15867087244987488
20,128,10,10,0.14762213826179504,0.13844518661499022,1.000322937965393,0.15842773020267487
21,128,12,12,0.14514653384685516,0.13799003760019937,0.9995697140693665,0.158058762550354
22,128,14,14,0.14260944724082947,0.1382146647998265,1.0001071691513062,0.1577034890651703
23,128,16,16,0.14016461372375488,0.1382494866847992,1.000727891921997,0.15740688145160675
24,128,2,2,0.354351669549942,0.2664983570575714,1.0001329183578491,0.3585241436958313
25,128,4,4,0.3486875891685486,0.26500576734542847,1.0003721714019775,0.3569851517677307
26,128,6,6,0.34320196509361267,0.26461795965830487,1.0007153749465942,0.35560792684555054
27,128,8,8,0.3374575078487396,0.2644907534122467,0.999449610710144,0.35396328568458557
28,128,10,10,0.33211570978164673,0.2659512281417847,1.0007362365722656,0.352891743183136
29,128,12,12,0.3264009356498718,0.26577383279800415,1.0000149011611938,0.35124921798706055
30,128,14,14,0.32083627581596375,0.265630841255188,1.0011301040649414,0.3498010039329529
31,128,16,16,0.31525152921676636,0.26572686433792114,1.0007036924362183,0.34838077425956726
32,128,2,2,0.6298025846481323,0.3907047212123871,0.9994123578071594,0.6359302401542664
33,128,4,4,0.6201637387275696,0.39112210273742676,1.0002974271774292,0.6323933005332947
34,128,6,6,0.6104790568351746,0.39209282398223877,1.0001403093338013,0.6288372874259949
35,128,8,8,0.5998950600624084,0.3908762037754059,1.0008422136306763,0.6242711544036865
36,128,10,10,0.5901645421981812,0.39055662155151366,1.0000863075256348,0.6206212639808655
37,128,12,12,0.5803255438804626,0.39050447940826416,1.0002774000167847,0.6168779730796814
38,128,14,14,0.5704218149185181,0.39044625418526785,1.0008584260940552,0.6129852533340454
39,128,16,16,0.5605329871177673,0.39202848076820374,1.000627875328064,0.6093805432319641
40,128,2,2,0.9844703674316406,0.4993748962879181,0.9999067783355713,0.9922828078269958
41,128,4,4,0.9687748551368713,0.4995025098323822,1.0000355243682861,0.9843626618385315
42,128,6,6,0.9529943466186523,0.49938031037648517,1.000108242034912,0.9763772487640381
43,128,8,8,0.9375837445259094,0.5003763437271118,1.000429630279541,0.9688025712966919
44,128,10,10,0.9221640825271606,0.5002550601959228,1.000258445739746,0.9611192345619202
45,128,12,12,0.9065804481506348,0.5014042059580485,1.000572681427002,0.9534010887145996
46,128,14,14,0.8911550641059875,0.5015690326690674,1.0003528594970703,0.945801854133606
47,128,16,16,0.875186026096344,0.501387894153595,1.0009658336639404,0.9376212358474731
48,128,2,2,1.4187878370285034,0.6137027144432068,1.000022292137146,1.42624032497406
49,128,4,4,1.395793080329895,0.5905941724777222,1.0002293586730957,1.4142203330993652
50,128,6,6,1.373010277748108,0.5904466311136881,1.0000553131103516,1.400620460510254
51,128,8,8,1.3502652645111084,0.5927696228027344,0.999731719493866,1.3871697187423706
52,128,10,10,1.3275012969970703,0.5913660049438476,1.000508427619934,1.3735078573226929
53,128,12,12,1.3062437772750854,0.591607411702474,1.0003893375396729,1.3614040613174438
54,128,14,14,1.28288996219635,0.5914480345589774,1.0007764101028442,1.3472751379013062
55,128,16,16,1.260303020477295,0.591407299041748,1.0001707077026367,1.3337916135787964
56,128,2,2,1.9304956197738647,0.682966411113739,1.0003448724746704,1.9389487504959106
57,128,4,4,1.8992185592651367,0.6639906167984009,1.00080144405365,1.9199118614196777
58,128,6,6,1.8673115968704224,0.6620059410730997,1.0003957748413086,1.8982027769088745
59,128,8,8,1.8369662761688232,0.6637612581253052,1.0002689361572266,1.8782535791397095
60,128,10,10,1.8080294132232666,0.6634500026702881,1.0010557174682617,1.8595192432403564
61,128,12,12,1.775148868560791,0.6622069676717123,1.0013232231140137,1.836921215057373
62,128,14,14,1.7465990781784058,0.6650377001081195,1.0006450414657593,1.8187931776046753
63,128,16,16,1.7151927947998047,0.6644957065582275,1.0010908842086792,1.7976399660110474
64,128,2,2,2.524616241455078,0.7872527837753296,1.000495195388794,2.5291502475738525
65,128,4,4,2.4807684421539307,0.7275496125221252,1.0004149675369263,2.501699209213257
66,128,6,6,2.4416210651397705,0.7206271489461263,1.000530481338501,2.474839687347412
67,128,8,8,2.406311273574829,0.7460994720458984,1.000693917274475,2.4414029121398926
68,128,10,10,2.360150098800659,0.7216617107391358,1.0011051893234253,2.4160897731781006
69,128,12,12,2.320645332336426,0.7213991483052572,1.0009030103683472,2.3875772953033447
70,128,14,14,2.2809576988220215,0.7211437225341797,1.0013208389282227,2.3592112064361572
71,128,16,16,2.240981340408325,0.7214328050613403,1.0008862018585205,2.33048939704895
72,128,2,2,3.195277214050293,0.8540043830871582,1.000288486480713,3.196922540664673
73,128,4,4,3.1410937309265137,0.7666995525360107,1.0002564191818237,3.164135694503784
74,128,6,6,3.086609363555908,0.7659751574198405,0.9994176030158997,3.1220712661743164
75,128,8,8,3.0379951000213623,0.7652488946914673,1.0008490085601807,3.085322618484497
76,128,10,10,2.9898300170898438,0.7673807621002198,1.0002166032791138,3.048664093017578
77,128,12,12,2.9370369911193848,0.7662432988484701,1.0005210638046265,3.008113384246826
78,128,14,14,2.886924982070923,0.7681732177734375,1.000342607498169,2.969881534576416
79,128,16,16,2.8359286785125732,0.766226589679718,1.0009369850158691,2.9306442737579346
80,128,2,2,3.946371555328369,0.8861834406852722,1.0005757808685303,3.946244716644287
81,128,4,4,3.882800579071045,0.8517410159111023,1.0003132820129395,3.894190549850464
82,128,6,6,3.8153419494628906,0.8124507268269857,1.0001718997955322,3.8477742671966553
83,128,8,8,3.752558708190918,0.8033629655838013,1.000549554824829,3.8003013134002686
84,128,10,10,3.6916115283966064,0.8067817687988281,1.0002228021621704,3.750035285949707
85,128,12,12,3.6281421184539795,0.8030634721120199,1.0007123947143555,3.7020621299743652
86,128,14,14,3.5607690811157227,0.8040766034807477,1.0005953311920166,3.6476733684539795
87,128,16,16,3.500181198120117,0.802368700504303,1.0013598203659058,3.5989437103271484
