,do,da,dz,db,sigma,iter,recon_loss,act_mse,obs_mse,noi_mse
0,128,8,2,8,0.5,0,1.6376519203186035,0.8744507431983948,1.0018699169158936,1.015444040298462
1,128,8,2,8,0.5,1000,0.11736971139907837,0.7874825596809387,0.9747679829597473,0.9685733914375305
2,128,8,2,8,0.5,2000,0.07597482949495316,0.7688742876052856,0.9826499819755554,0.9879657030105591
3,128,8,2,8,0.5,3000,0.0702311247587204,0.7076822519302368,0.9710460901260376,0.914836585521698
4,128,8,2,8,0.5,4000,0.075529545545578,0.8179285526275635,0.9831201434135437,1.0388869047164917
5,128,8,2,8,0.5,5000,0.06672761589288712,0.708528995513916,0.9856165647506714,1.062720537185669
6,128,8,2,8,0.5,6000,0.06625312566757202,0.7633653879165649,0.9809026122093201,0.9655182361602783
7,128,8,2,8,0.5,7000,0.0680343434214592,0.803041934967041,0.9866510629653931,0.9928256273269653
8,128,8,2,8,0.5,8000,0.06282704323530197,0.7339644432067871,0.974839985370636,0.97456955909729
9,128,8,2,8,0.5,9000,0.05951531231403351,0.7008978128433228,0.9793281555175781,0.9915012121200562
10,128,8,2,8,0.5,10000,0.06730064749717712,0.7980183362960815,0.9889844059944153,1.031051516532898
11,128,8,2,8,0.5,11000,0.06456267833709717,0.7728986740112305,0.9697459936141968,0.9913228750228882
12,128,8,2,8,0.5,12000,0.0639975443482399,0.7688012719154358,0.9732058644294739,1.011728286743164
13,128,8,2,8,0.5,13000,0.06051647290587425,0.7120967507362366,1.0081568956375122,0.9556525945663452
14,128,8,2,8,0.5,14000,0.0664643868803978,0.7973714470863342,0.9898127317428589,1.0018590688705444
15,128,8,2,8,0.5,15000,0.0649246871471405,0.7767323851585388,0.9802742600440979,1.0298089981079102
16,128,8,2,8,0.5,16000,0.06188325211405754,0.739045262336731,0.9869231581687927,0.9795016050338745
17,128,8,2,8,0.5,17000,0.06418802589178085,0.7672050595283508,0.9879156947135925,0.9908391237258911
18,128,8,2,8,0.5,18000,0.058894164860248566,0.7030524611473083,0.9738867282867432,0.9692074060440063
19,128,8,2,8,0.5,19000,0.06549743562936783,0.7563656568527222,0.9975013136863708,1.138190746307373
20,128,8,2,8,0.5,20000,0.06319531053304672,0.7485605478286743,0.9852942228317261,0.9842553734779358
21,128,8,2,8,0.5,21000,0.06195385381579399,0.7396342754364014,1.0114247798919678,1.016914963722229
22,128,8,2,8,0.5,22000,0.062035348266363144,0.7053533792495728,1.0013071298599243,1.0114914178848267
23,128,8,2,8,0.5,23000,0.06273172795772552,0.7308915853500366,0.9960825443267822,0.9707907438278198
24,128,8,2,8,0.5,24000,0.06495516002178192,0.7564077377319336,1.0007935762405396,1.0302608013153076
25,128,8,2,8,0.5,25000,0.06396418809890747,0.7699556946754456,0.9779026508331299,0.9899045825004578
26,128,8,2,8,0.5,26000,0.056850235909223557,0.6606528759002686,0.9724642038345337,0.9425145387649536
27,128,8,2,8,0.5,27000,0.06135508418083191,0.7149126529693604,0.9837316274642944,1.0267328023910522
28,128,8,2,8,0.5,28000,0.06935106217861176,0.8257722854614258,0.9867026209831238,1.1037873029708862
29,128,8,2,8,0.5,29000,0.06473010033369064,0.7808699011802673,0.9647292494773865,0.9437002539634705
30,128,8,2,8,0.5,30000,0.06391601264476776,0.7543268203735352,0.9867291450500488,1.105064868927002
31,128,8,2,8,0.5,31000,0.06612537801265717,0.7937475442886353,0.9981750249862671,0.9647282958030701
32,128,8,2,8,0.5,32000,0.06321048736572266,0.7293058037757874,1.0064305067062378,1.0153266191482544
33,128,8,2,8,0.5,33000,0.06447923183441162,0.7920415997505188,0.9974614381790161,1.0223864316940308
34,128,8,2,8,0.5,34000,0.06431613862514496,0.7891363501548767,0.9781699180603027,1.0023295879364014
35,128,8,2,8,0.5,35000,0.06902970373630524,0.8506101369857788,0.970705509185791,0.9786059856414795
36,128,8,2,8,0.5,36000,0.06520010530948639,0.7796292304992676,0.982270359992981,0.9780752658843994
37,128,8,2,8,0.5,37000,0.059363119304180145,0.700996994972229,0.98341304063797,0.9327733516693115
38,128,8,2,8,0.5,38000,0.06617005914449692,0.8110027313232422,0.9939049482345581,0.9511051774024963
39,128,8,2,8,0.5,39000,0.0614997074007988,0.7283906936645508,0.9964410662651062,0.9664649963378906
