,do,da,dz,db,chi,iter,recon_loss,act_mse,obs_mse,noi_mse
0,128,8,2,8,0.0,0,1.6074578762054443,0.9476081132888794,0.9853358268737793,1.0
1,128,8,2,8,0.0,1000,0.10715607553720474,0.7538703083992004,0.9857281446456909,1.0
2,128,8,2,8,0.0,2000,0.060642968863248825,0.7483227252960205,0.9861518740653992,1.0
3,128,8,2,8,0.0,3000,0.05947747081518173,0.7491700649261475,0.9840289354324341,1.0
4,128,8,2,8,0.0,4000,0.05730598047375679,0.7538437247276306,0.9868050813674927,1.0
5,128,8,2,8,0.0,5000,0.05386613681912422,0.7496669292449951,0.983837902545929,1.0
6,128,8,2,8,0.0,6000,0.051822297275066376,0.7587414383888245,0.9848894476890564,1.0
7,128,8,2,8,0.0,7000,0.049893103539943695,0.7551019787788391,0.9843963980674744,1.0
8,128,8,2,8,0.0,8000,0.048878688365221024,0.7542697191238403,0.9868269562721252,1.0
9,128,8,2,8,0.0,9000,0.048515137284994125,0.7539386749267578,0.9851518273353577,1.0
10,128,8,2,8,0.0,10000,0.04831046611070633,0.7554224133491516,0.9847389459609985,1.0
11,128,8,2,8,0.0,11000,0.048103418201208115,0.7525587677955627,0.9841740131378174,1.0
12,128,8,2,8,0.0,12000,0.048121873289346695,0.7522721290588379,0.9839856624603271,1.0
13,128,8,2,8,0.0,13000,0.048195429146289825,0.7517393827438354,0.9837377071380615,1.0
14,128,8,2,8,0.0,14000,0.0481322780251503,0.7501368522644043,0.9845192432403564,1.0
15,128,8,2,8,0.0,15000,0.04836152493953705,0.7553139925003052,0.9841031432151794,1.0
16,128,8,2,8,0.0,16000,0.048479292541742325,0.7575000524520874,0.9840580224990845,1.0
17,128,8,2,8,0.0,17000,0.048280805349349976,0.7526467442512512,0.9857214689254761,1.0
18,128,8,2,8,0.0,18000,0.047730762511491776,0.7476957440376282,0.9848224520683289,1.0
19,128,8,2,8,0.0,19000,0.04787164181470871,0.7485921382904053,0.9843515753746033,1.0
20,128,8,2,8,0.0,20000,0.04782047122716904,0.7471564412117004,0.9831545948982239,1.0
21,128,8,2,8,0.0,21000,0.04790342599153519,0.7484230995178223,0.9853920936584473,1.0
22,128,8,2,8,0.0,22000,0.0477399118244648,0.7449694275856018,0.9833726286888123,1.0
23,128,8,2,8,0.0,23000,0.04767732694745064,0.7421587705612183,0.9857372045516968,1.0
24,128,8,2,8,0.0,24000,0.04826167970895767,0.7534837126731873,0.9854111075401306,1.0
25,128,8,2,8,0.0,25000,0.048612069338560104,0.758129894733429,0.9858277440071106,1.0
26,128,8,2,8,0.0,26000,0.048290133476257324,0.7526770830154419,0.9830048680305481,1.0
27,128,8,2,8,0.0,27000,0.04742344841361046,0.741537868976593,0.9869970679283142,1.0
28,128,8,2,8,0.0,28000,0.047929976135492325,0.7492862343788147,0.9855770468711853,1.0
29,128,8,2,8,0.0,29000,0.04814939573407173,0.748148500919342,0.9859074354171753,1.0
30,128,8,2,8,0.0,30000,0.0481049083173275,0.7503106594085693,0.9835850596427917,1.0
31,128,8,2,8,0.0,31000,0.048449065536260605,0.757170557975769,0.9849370121955872,1.0
32,128,8,2,8,0.0,32000,0.04814668372273445,0.7504003047943115,0.9862704873085022,1.0
33,128,8,2,8,0.0,33000,0.04818658530712128,0.7498612999916077,0.9871719479560852,1.0
34,128,8,2,8,0.0,34000,0.04790523275732994,0.7481358647346497,0.9869406223297119,1.0
35,128,8,2,8,0.0,35000,0.04828138276934624,0.753832995891571,0.9834709167480469,1.0
36,128,8,2,8,0.0,36000,0.04798742011189461,0.7488784790039062,0.9850092530250549,1.0
37,128,8,2,8,0.0,37000,0.04858667775988579,0.7581510543823242,0.9839617013931274,1.0
38,128,8,2,8,0.0,38000,0.04807094484567642,0.7512999773025513,0.9836941361427307,1.0
39,128,8,2,8,0.0,39000,0.04766400530934334,0.7430140972137451,0.9863170981407166,1.0
40,128,8,2,8,0.0,40000,0.04801494628190994,0.7506281137466431,0.984377920627594,1.0
41,128,8,3,8,0.0,0,1.6251171827316284,0.9122816324234009,0.9781643748283386,1.0
42,128,8,3,8,0.0,1000,0.09909852594137192,0.6372026801109314,0.9759538769721985,1.0
43,128,8,3,8,0.0,2000,0.058771226555109024,0.6203652620315552,0.9776718616485596,1.0
44,128,8,3,8,0.0,3000,0.05628038942813873,0.6327797770500183,0.9763891696929932,1.0
45,128,8,3,8,0.0,4000,0.05222192406654358,0.6307142376899719,0.9766096472740173,1.0
46,128,8,3,8,0.0,5000,0.04790080711245537,0.6318718791007996,0.9776845574378967,1.0
47,128,8,3,8,0.0,6000,0.04472413286566734,0.6292476654052734,0.9775902628898621,1.0
48,128,8,3,8,0.0,7000,0.04229890555143356,0.6276318430900574,0.9784464836120605,1.0
49,128,8,3,8,0.0,8000,0.041329655796289444,0.6318210363388062,0.9778915047645569,1.0
50,128,8,3,8,0.0,9000,0.039940401911735535,0.6188021898269653,0.9776477813720703,1.0
51,128,8,3,8,0.0,10000,0.040854908525943756,0.6339593529701233,0.977212131023407,1.0
52,128,8,3,8,0.0,11000,0.04016735777258873,0.6264466047286987,0.9763771295547485,1.0
53,128,8,3,8,0.0,12000,0.03990017622709274,0.6213436722755432,0.978469729423523,1.0
54,128,8,3,8,0.0,13000,0.0400058850646019,0.6200251579284668,0.9781774282455444,1.0
55,128,8,3,8,0.0,14000,0.04012320190668106,0.6245187520980835,0.9777772426605225,1.0
56,128,8,3,8,0.0,15000,0.039849650114774704,0.6194049715995789,0.9763723611831665,1.0
57,128,8,3,8,0.0,16000,0.04025791585445404,0.6286574006080627,0.9774391651153564,1.0
58,128,8,3,8,0.0,17000,0.04032441973686218,0.6287035942077637,0.9781376123428345,1.0
