,do,da,dz,db,chi,iter,recon_loss,act_mse,obs_mse,noi_mse
0,128,8,2,8,0.0,0,1.654252290725708,0.9215266704559326,0.98666912317276,1.0
1,128,8,2,8,0.0,1000,0.10890740901231766,0.7551519274711609,0.9842042922973633,1.0
2,128,8,2,8,0.0,2000,0.0601462759077549,0.7466257810592651,0.9831922054290771,1.0
3,128,8,2,8,0.0,3000,0.057770971208810806,0.7442012429237366,0.985065221786499,1.0
4,128,8,2,8,0.0,4000,0.05516881123185158,0.7515396475791931,0.9847548604011536,1.0
5,128,8,2,8,0.0,5000,0.05173039063811302,0.7497872710227966,0.9853757619857788,1.0
6,128,8,2,8,0.0,6000,0.04970691353082657,0.7497009038925171,0.9845163226127625,1.0
7,128,8,2,8,0.0,7000,0.048884980380535126,0.7538213729858398,0.9841808676719666,1.0
8,128,8,2,8,0.0,8000,0.0485718734562397,0.7546694278717041,0.986279308795929,1.0
9,128,8,2,8,0.0,9000,0.04770758002996445,0.7457534670829773,0.9843826293945312,1.0
10,128,8,2,8,0.0,10000,0.047743476927280426,0.7457087635993958,0.9857702851295471,1.0
11,128,8,2,8,0.0,11000,0.048298902809619904,0.7554085850715637,0.9832674860954285,1.0
12,128,8,2,8,0.0,12000,0.04796813428401947,0.7490952610969543,0.9853267669677734,1.0
13,128,8,2,8,0.0,13000,0.048339176923036575,0.7548390626907349,0.9853813648223877,1.0
14,128,8,2,8,0.0,14000,0.04788224399089813,0.7463720440864563,0.9856747984886169,1.0
15,128,8,2,8,0.0,15000,0.04785986244678497,0.7490832805633545,0.9851048588752747,1.0
16,128,8,2,8,0.0,16000,0.048375412821769714,0.7558175921440125,0.9864407181739807,1.0
17,128,8,2,8,0.0,17000,0.04807639494538307,0.7519803047180176,0.9823132753372192,1.0
18,128,8,2,8,0.0,18000,0.048119496554136276,0.7494385838508606,0.9837951064109802,1.0
19,128,8,2,8,0.0,19000,0.048480771481990814,0.7595545649528503,0.9863117337226868,1.0
20,128,8,2,8,0.0,20000,0.04826552793383598,0.7530627846717834,0.9863165020942688,1.0
21,128,8,2,8,0.0,21000,0.04774969443678856,0.7481668591499329,0.9850728511810303,1.0
22,128,8,2,8,0.0,22000,0.04816748574376106,0.7530781030654907,0.9849111437797546,1.0
23,128,8,2,8,0.0,23000,0.048127852380275726,0.7482090592384338,0.9847819209098816,1.0
24,128,8,2,8,0.0,24000,0.04836024343967438,0.7549750208854675,0.9838607311248779,1.0
25,128,8,2,8,0.0,25000,0.048177119344472885,0.7499220371246338,0.9879268407821655,1.0
26,128,8,2,8,0.0,26000,0.04812457785010338,0.7520857453346252,0.9845779538154602,1.0
27,128,8,2,8,0.0,27000,0.048079963773489,0.7513391971588135,0.9856400489807129,1.0
28,128,8,2,8,0.0,28000,0.048126157373189926,0.7505174279212952,0.9857975840568542,1.0
29,128,8,2,8,0.0,29000,0.04797941818833351,0.7455232739448547,0.9850027561187744,1.0
30,128,8,2,8,0.0,30000,0.04862813651561737,0.7589135766029358,0.9840908050537109,1.0
31,128,8,2,8,0.0,31000,0.0482974499464035,0.7547498941421509,0.9833338856697083,1.0
32,128,8,2,8,0.0,32000,0.04753289371728897,0.7426085472106934,0.9846457839012146,1.0
33,128,8,2,8,0.0,33000,0.048152633011341095,0.7515066862106323,0.9845460653305054,1.0
34,128,8,2,8,0.0,34000,0.047555260360240936,0.7432146072387695,0.9847150444984436,1.0
35,128,8,2,8,0.0,35000,0.04810180515050888,0.7531490325927734,0.9852879047393799,1.0
36,128,8,2,8,0.0,36000,0.047930095344781876,0.7479676008224487,0.9842010736465454,1.0
37,128,8,2,8,0.0,37000,0.048277512192726135,0.7567068338394165,0.9851663112640381,1.0
38,128,8,2,8,0.0,38000,0.04842560738325119,0.756075382232666,0.9861593842506409,1.0
39,128,8,2,8,0.0,39000,0.04789339751005173,0.748652994632721,0.9847429394721985,1.0
40,128,8,2,8,0.0,40000,0.048212938010692596,0.7519487142562866,0.9849404096603394,1.0
41,128,8,3,8,0.0,0,1.6011611223220825,0.8581939339637756,0.9779577255249023,1.0
42,128,8,3,8,0.0,1000,0.0951513722538948,0.6339057087898254,0.9776037335395813,1.0
43,128,8,3,8,0.0,2000,0.058811694383621216,0.6250765323638916,0.9775757789611816,1.0
44,128,8,3,8,0.0,3000,0.055343370884656906,0.6286906003952026,0.9771974682807922,1.0
45,128,8,3,8,0.0,4000,0.0504394993185997,0.6242756247520447,0.977821409702301,1.0
46,128,8,3,8,0.0,5000,0.04626287519931793,0.6304082870483398,0.9780589938163757,1.0
47,128,8,3,8,0.0,6000,0.042403049767017365,0.6231600642204285,0.9748257994651794,1.0
48,128,8,3,8,0.0,7000,0.040679994970560074,0.6229174733161926,0.9759787321090698,1.0
49,128,8,3,8,0.0,8000,0.040674492716789246,0.6296194195747375,0.9793640375137329,1.0
50,128,8,3,8,0.0,9000,0.04016393423080444,0.6259811520576477,0.9773825407028198,1.0
51,128,8,3,8,0.0,10000,0.04028969630599022,0.6261835694313049,0.9756746292114258,1.0
52,128,8,3,8,0.0,11000,0.040213629603385925,0.6278793215751648,0.9765129089355469,1.0
53,128,8,3,8,0.0,12000,0.04046037793159485,0.6297670602798462,0.9776478409767151,1.0
54,128,8,3,8,0.0,13000,0.04024377837777138,0.6268895268440247,0.9745281338691711,1.0
55,128,8,3,8,0.0,14000,0.040373194962739944,0.6285534501075745,0.9773944616317749,1.0
56,128,8,3,8,0.0,15000,0.039954736828804016,0.6223600506782532,0.9771242141723633,1.0
57,128,8,3,8,0.0,16000,0.04048968479037285,0.6309526562690735,0.9773854613304138,1.0
58,128,8,3,8,0.0,17000,0.040694963186979294,0.634421706199646,0.9769269824028015,1.0
59,128,8,3,8,0.0,18000,0.040271904319524765,0.6256535649299622,0.9776971936225891,1.0
60,128,8,3,8,0.0,19000,0.04049663245677948,0.6306650638580322,0.9752004146575928,1.0
61,128,8,3,8,0.0,20000,0.04022541642189026,0.6250675916671753,0.9763568639755249,1.0
62,128,8,3,8,0.0,21000,0.04055284336209297,0.6313629150390625,0.9749802947044373,1.0
63,128,8,3,8,0.0,22000,0.04018913954496384,0.6264841556549072,0.9759863018989563,1.0
64,128,8,3,8,0.0,23000,0.040465183556079865,0.6299880146980286,0.9806012511253357,1.0
65,128,8,3,8,0.0,24000,0.040060609579086304,0.6252321004867554,0.9771901369094849,1.0
66,128,8,3,8,0.0,25000,0.040277063846588135,0.6276532411575317,0.9774675965309143,1.0
67,128,8,3,8,0.0,26000,0.03980768844485283,0.6195659637451172,0.978121280670166,1.0
68,128,8,3,8,0.0,27000,0.04053682088851929,0.6312441825866699,0.9764440655708313,1.0
69,128,8,3,8,0.0,28000,0.040114570409059525,0.6241251230239868,0.9777533411979675,1.0
70,128,8,3,8,0.0,29000,0.04031579941511154,0.6277955770492554,0.9771971702575684,1.0
71,128,8,3,8,0.0,30000,0.04007327929139137,0.6242963671684265,0.9805145263671875,1.0
72,128,8,3,8,0.0,31000,0.04047524929046631,0.6318992972373962,0.9749523401260376,1.0
73,128,8,3,8,0.0,32000,0.04029975086450577,0.6276302933692932,0.9763085246086121,1.0
74,128,8,3,8,0.0,33000,0.039644427597522736,0.6190751194953918,0.9754787087440491,1.0
75,128,8,3,8,0.0,34000,0.04039657860994339,0.6289576888084412,0.9753276109695435,1.0
76,128,8,3,8,0.0,35000,0.04036293178796768,0.6285186409950256,0.9778279066085815,1.0
77,128,8,3,8,0.0,36000,0.040394410490989685,0.6303674578666687,0.9792775511741638,1.0
78,128,8,3,8,0.0,37000,0.03993096202611923,0.6226853728294373,0.9771115183830261,1.0
79,128,8,3,8,0.0,38000,0.03992725536227226,0.6205956935882568,0.976255476474762,1.0
80,128,8,3,8,0.0,39000,0.04061146453022957,0.6315413117408752,0.9767188429832458,1.0
