,do,da,dz,db,chi,iter,recon_loss,act_mse,obs_mse,noi_mse
0,128,8,2,8,0,0,1.6139461994171143,0.9107989072799683,0.985206663608551,1.0
1,128,8,2,8,0,1000,0.11061578243970871,0.7502070665359497,0.9851338863372803,1.0
2,128,8,2,8,0,2000,0.06024199351668358,0.753328800201416,0.9858554005622864,1.0
3,128,8,2,8,0,3000,0.05728248134255409,0.7452731132507324,0.9851110577583313,1.0
4,128,8,2,8,0,4000,0.05480479076504707,0.7498388886451721,0.9855729341506958,1.0
5,128,8,2,8,0,5000,0.051399268209934235,0.7482563257217407,0.9849554896354675,1.0
6,128,8,2,8,0,6000,0.0493328794836998,0.7453525066375732,0.9838139414787292,1.0
7,128,8,2,8,0,7000,0.048692259937524796,0.7536264061927795,0.9826161861419678,1.0
8,128,8,2,8,0,8000,0.04856329411268234,0.753975510597229,0.9844491481781006,1.0
9,128,8,2,8,0,9000,0.04822088032960892,0.754553496837616,0.9847107529640198,1.0
10,128,8,2,8,0,10000,0.04775030165910721,0.7458317875862122,0.9854531288146973,1.0
11,128,8,2,8,0,11000,0.04812831059098244,0.7524627447128296,0.9849775433540344,1.0
12,128,8,2,8,0,12000,0.04789562523365021,0.7456973791122437,0.9840223789215088,1.0
13,128,8,2,8,0,13000,0.04787405580282211,0.7476949095726013,0.9858294725418091,1.0
14,128,8,2,8,0,14000,0.04778182879090309,0.7453415393829346,0.9849284291267395,1.0
15,128,8,2,8,0,15000,0.04848114028573036,0.7553715109825134,0.9827582240104675,1.0
16,128,8,2,8,0,16000,0.048376988619565964,0.7573588490486145,0.9838681817054749,1.0
17,128,8,2,8,0,17000,0.04812512919306755,0.7496159076690674,0.9851529002189636,1.0
18,128,8,2,8,0,18000,0.04853610694408417,0.7562243342399597,0.986771285533905,1.0
19,128,8,2,8,0,19000,0.04823725298047066,0.7543706893920898,0.9843462705612183,1.0
20,128,8,2,8,0,20000,0.047827281057834625,0.7468144297599792,0.9833353757858276,1.0
21,128,8,2,8,0,21000,0.04830055683851242,0.7550841569900513,0.9831169843673706,1.0
22,128,8,2,8,0,22000,0.047893915325403214,0.7481144666671753,0.9857062697410583,1.0
23,128,8,2,8,0,23000,0.048778608441352844,0.7616628408432007,0.9843471646308899,1.0
24,128,8,2,8,0,24000,0.04779379069805145,0.7452119588851929,0.9847051501274109,1.0
25,128,8,2,8,0,25000,0.04770418629050255,0.7462857365608215,0.9829823970794678,1.0
26,128,8,2,8,0,26000,0.047707449644804,0.7447513937950134,0.9829678535461426,1.0
27,128,8,2,8,0,27000,0.04786274954676628,0.7483086585998535,0.9869714975357056,1.0
28,128,8,2,8,0,28000,0.04842211678624153,0.7571458220481873,0.9853658080101013,1.0
29,128,8,2,8,0,29000,0.04802398756146431,0.7514877319335938,0.982952356338501,1.0
30,128,8,2,8,0,30000,0.04831788316369057,0.7547060251235962,0.9841894507408142,1.0
31,128,8,2,8,0,31000,0.047938767820596695,0.7491050958633423,0.9822277426719666,1.0
32,128,8,2,8,0,32000,0.048213496804237366,0.7511551976203918,0.9820083975791931,1.0
33,128,8,2,8,0,33000,0.048291802406311035,0.7543798089027405,0.9843140840530396,1.0
34,128,8,2,8,0,34000,0.04819374531507492,0.7513844966888428,0.9852134585380554,1.0
35,128,8,2,8,0,35000,0.0479419082403183,0.7475638389587402,0.9835325479507446,1.0
36,128,8,2,8,0,36000,0.04780647158622742,0.7463231682777405,0.9853906035423279,1.0
37,128,8,2,8,0,37000,0.04762990027666092,0.7426818609237671,0.9850038290023804,1.0
38,128,8,2,8,0,38000,0.04827926307916641,0.7547650337219238,0.9848388433456421,1.0
39,128,8,2,8,0,39000,0.04827902466058731,0.7536003589630127,0.986254870891571,1.0
40,128,8,2,8,0,40000,0.04805847629904747,0.750762403011322,0.9850580096244812,1.0
41,128,8,3,8,0,0,1.6165850162506104,0.8432650566101074,0.9773715138435364,1.0
42,128,8,3,8,0,1000,0.09491278976202011,0.624243974685669,0.9761713743209839,1.0
43,128,8,3,8,0,2000,0.05853087827563286,0.6244909167289734,0.9777063727378845,1.0
44,128,8,3,8,0,3000,0.05460019409656525,0.6229501962661743,0.978578507900238,1.0
45,128,8,3,8,0,4000,0.049416594207286835,0.6289036870002747,0.9756801724433899,1.0
46,128,8,3,8,0,5000,0.04498119652271271,0.6354430317878723,0.9776840806007385,1.0
47,128,8,3,8,0,6000,0.041878215968608856,0.6299567818641663,0.9764578342437744,1.0
48,128,8,3,8,0,7000,0.040729302912950516,0.6272878646850586,0.9788504838943481,1.0
49,128,8,3,8,0,8000,0.040068235248327255,0.6233323216438293,0.9759734272956848,1.0
50,128,8,3,8,0,9000,0.0398264080286026,0.620292603969574,0.9775586128234863,1.0
51,128,8,3,8,0,10000,0.04017593339085579,0.6240639686584473,0.9779480695724487,1.0
52,128,8,3,8,0,11000,0.040233150124549866,0.6272714138031006,0.9794869422912598,1.0
53,128,8,3,8,0,12000,0.040406160056591034,0.6285315155982971,0.975670576095581,1.0
54,128,8,3,8,0,13000,0.040478888899087906,0.6300719976425171,0.9782912135124207,1.0
55,128,8,3,8,0,14000,0.04000473394989967,0.6231241226196289,0.9760295152664185,1.0
56,128,8,3,8,0,15000,0.040535155683755875,0.633895218372345,0.9748274683952332,1.0
57,128,8,3,8,0,16000,0.040000464767217636,0.6234428882598877,0.9767506718635559,1.0
58,128,8,3,8,0,17000,0.039785727858543396,0.6212375164031982,0.9796108603477478,1.0
59,128,8,3,8,0,18000,0.0400097519159317,0.6224207282066345,0.9797103404998779,1.0
60,128,8,3,8,0,19000,0.04007049277424812,0.6248746514320374,0.9771411418914795,1.0
