,do,da,dz,db,sigma,iter,mask_ratio,recon_loss,act_mse,obs_mse,noi_mse
0,128,8,2,8,0.5,40000,0.0,0.063962422311306,0.7779968976974487,0.9903120398521423,0.9758676886558533
1,128,8,2,8,0.5,40000,0.01,0.06189524009823799,0.7424426674842834,0.9991016387939453,0.9260261058807373
2,128,8,2,8,0.5,40000,0.05,0.058606091886758804,0.67436283826828,0.9958934187889099,0.9267985820770264
3,128,8,2,8,0.5,40000,0.1,0.06807442009449005,0.8122175931930542,0.9952977299690247,1.1015686988830566
4,128,8,3,8,0.5,40000,0.0,0.05787418782711029,0.6627723574638367,0.9820746183395386,1.036847472190857
5,128,8,3,8,0.5,40000,0.01,0.058315299451351166,0.6785374879837036,0.9874869585037231,1.0095422267913818
6,128,8,3,8,0.5,40000,0.05,0.053051743656396866,0.5748165249824524,1.0124512910842896,1.0002415180206299
7,128,8,3,8,0.5,40000,0.1,0.05309343710541725,0.5946793556213379,1.012906789779663,0.9487075209617615
8,128,8,4,8,0.5,40000,0.0,0.0476529598236084,0.5188785195350647,1.0060337781906128,0.9542526602745056
9,128,8,4,8,0.5,40000,0.01,0.04993914067745209,0.49844688177108765,1.0009161233901978,1.0395081043243408
10,128,8,4,8,0.5,40000,0.05,0.04935478791594505,0.5050809383392334,0.9986014366149902,1.038813829421997
11,128,8,4,8,0.5,40000,0.1,0.04849966987967491,0.5070199370384216,0.9984666109085083,1.0281296968460083
12,128,8,5,8,0.5,40000,0.0,0.036678507924079895,0.3669682443141937,0.999687910079956,0.9376243948936462
13,128,8,5,8,0.5,40000,0.01,0.03984994441270828,0.38771775364875793,0.9971619248390198,0.9592723846435547
14,128,8,5,8,0.5,40000,0.05,0.0392339862883091,0.34729474782943726,0.9928458333015442,1.0273540019989014
15,128,8,5,8,0.5,40000,0.1,0.03870280459523201,0.353324830532074,0.9835017919540405,1.0463812351226807
16,128,8,6,8,0.5,40000,0.0,0.02963719330728054,0.2545660138130188,1.0014513731002808,0.9554498791694641
17,128,8,6,8,0.5,40000,0.01,0.030665090307593346,0.24673980474472046,0.9947373867034912,0.9493760466575623
18,128,8,6,8,0.5,40000,0.05,0.0317503921687603,0.23776544630527496,0.9986774921417236,1.0243747234344482
19,128,8,6,8,0.5,40000,0.1,0.030088672414422035,0.23710095882415771,0.9987026453018188,0.9353578090667725
20,128,8,7,8,0.5,40000,0.0,0.022139715030789375,0.13865873217582703,0.9925632476806641,0.987455427646637
21,128,8,7,8,0.5,40000,0.01,0.022654689848423004,0.11777971684932709,0.9932031631469727,0.9050410389900208
22,128,8,7,8,0.5,40000,0.05,0.02611405961215496,0.15071088075637817,0.9814414381980896,1.0150150060653687
23,128,8,7,8,0.5,40000,0.1,0.025288483127951622,0.14470836520195007,1.007791519165039,0.9862700700759888
24,128,8,8,8,0.5,40000,0.0,0.016170818358659744,0.025252383202314377,0.9942464828491211,1.047844648361206
25,128,8,8,8,0.5,40000,0.01,0.017431005835533142,0.006081363186240196,0.9770171642303467,1.0841786861419678
26,128,8,8,8,0.5,40000,0.05,0.018079357221722603,0.0006124517531134188,1.007347822189331,1.0973341464996338
27,128,8,8,8,0.5,40000,0.1,0.017274614423513412,0.0004910984425805509,1.0024287700653076,1.0449217557907104
28,128,8,9,8,0.5,40000,0.0,0.012302099727094173,0.024828745052218437,0.9940544366836548,0.8010534048080444
29,128,8,9,8,0.5,40000,0.01,0.014778216369450092,0.004362806677818298,1.002008080482483,0.9178421497344971
30,128,8,9,8,0.5,40000,0.05,0.014121470972895622,0.0016951905563473701,1.0055646896362305,0.8631789088249207
31,128,8,9,8,0.5,40000,0.1,0.01410940382629633,0.00025019116583280265,0.9905182123184204,0.8628123998641968
32,128,8,10,8,0.5,40000,0.0,0.010805674828588963,0.023822074756026268,0.99129718542099,0.7019417881965637
33,128,8,10,8,0.5,40000,0.01,0.011683400720357895,0.006104863248765469,0.9994201064109802,0.740333080291748
34,128,8,10,8,0.5,40000,0.05,0.011384093202650547,0.0008389715803787112,0.980060338973999,0.7220280766487122
35,128,8,10,8,0.5,40000,0.1,0.012181691825389862,0.000483973155496642,0.9944546222686768,0.7394326329231262
36,128,8,11,8,0.5,40000,0.0,0.008426321670413017,0.021060548722743988,1.0074236392974854,0.5639368295669556
37,128,8,11,8,0.5,40000,0.01,0.011062976904213428,0.006544806994497776,0.9801944494247437,0.6999617218971252
38,128,8,11,8,0.5,40000,0.05,0.01058866921812296,0.0008943111752159894,0.9956763982772827,0.6613043546676636
39,128,8,11,8,0.5,40000,0.1,0.010195162147283554,0.00032771029509603977,1.001144528388977,0.6376838088035583
40,128,8,12,8,0.5,40000,0.0,0.007751720957458019,0.023985115811228752,1.0030258893966675,0.5033894181251526
41,128,8,12,8,0.5,40000,0.01,0.008602199144661427,0.0038483333773911,0.9844841957092285,0.552092969417572
42,128,8,12,8,0.5,40000,0.05,0.007537148427218199,0.0008219590527005494,1.0207436084747314,0.48046356439590454
43,128,8,12,8,0.5,40000,0.1,0.009172939695417881,0.0004079617792740464,0.9906352162361145,0.5791674852371216
44,128,8,13,8,0.5,40000,0.0,0.006012195721268654,0.022395901381969452,0.9949071407318115,0.40395021438598633
45,128,8,13,8,0.5,40000,0.01,0.005858211778104305,0.003752710996195674,1.0074926614761353,0.407772958278656
46,128,8,13,8,0.5,40000,0.05,0.006749820429831743,0.002516969572752714,1.004874348640442,0.4183627963066101
47,128,8,13,8,0.5,40000,0.1,0.006295716855674982,0.0006877855630591512,1.0205439329147339,0.4057731032371521
